iter	MultiClass
0	5.58318847
1	5.555182231
2	5.528035699
3	5.505634424
4	5.483603852
5	5.465286712
6	5.447140582
7	5.431712285
8	5.416314675
9	5.403490846
10	5.388417382
11	5.374781797
12	5.363749352
13	5.349800703
14	5.337717861
15	5.330098641
16	5.318122461
17	5.30815727
18	5.298266034
19	5.29171082
20	5.283966129
21	5.275525591
22	5.266848374
23	5.258048099
24	5.249812649
25	5.243026048
26	5.235603322
27	5.229370235
28	5.224073621
29	5.21736691
30	5.211455399
31	5.20544242
32	5.199199164
33	5.194833421
34	5.190370355
35	5.185947983
36	5.181476427
37	5.17748013
38	5.17491068
39	5.170384863
40	5.16565619
41	5.161033516
42	5.157166075
43	5.153895325
44	5.15034007
45	5.146746516
46	5.1429419
47	5.139917351
48	5.13576556
49	5.131721296
50	5.12779106
51	5.124739681
52	5.12201828
53	5.119744029
54	5.115797201
55	5.112790577
56	5.110163646
57	5.107868705
58	5.104681224
59	5.102195936
60	5.100390497
61	5.098833599
62	5.095979084
63	5.093362966
64	5.09098215
65	5.08842139
66	5.085743798
67	5.083200129
68	5.080957593
69	5.078894619
70	5.077161158
71	5.07549225
72	5.073866459
73	5.071529643
74	5.070035502
75	5.068240898
76	5.067127723
77	5.065577299
78	5.063343328
79	5.062262174
80	5.061190414
81	5.059473464
82	5.058107197
83	5.055935311
84	5.054308738
85	5.053023854
86	5.051454302
87	5.049538266
88	5.048488107
89	5.046930321
90	5.045530246
91	5.044373102
92	5.043478863
93	5.042127564
94	5.040088995
95	5.039192237
96	5.03785995
97	5.036711811
98	5.035207121
99	5.033597071
100	5.032184479
101	5.031426381
102	5.030372729
103	5.028351036
104	5.027802147
105	5.026670624
106	5.02525297
107	5.024527509
108	5.023167008
109	5.022093258
110	5.021338937
111	5.020663887
112	5.019632659
113	5.018550356
114	5.017271027
115	5.016075889
116	5.014495775
117	5.01351258
118	5.012407451
119	5.011532712
120	5.010855841
121	5.010237098
122	5.009369015
123	5.00845563
