iter	Passed	Remaining
0	1617	3233247
1	3068	3065439
2	4592	3057306
3	6102	3045326
4	7655	3054588
5	9188	3053510
6	10661	3035526
7	12236	3046817
8	13875	3069621
9	15375	3059712
10	16728	3024756
11	18206	3016157
12	19676	3007447
13	21136	2998316
14	22555	2984798
15	24138	2993129
16	25590	2985003
17	27070	2980767
18	28457	2967090
19	29918	2961914
20	31411	2960129
21	32962	2963652
22	34514	2966761
23	36103	2972530
24	37532	2965045
25	39021	2962613
26	40637	2969537
27	42126	2966923
28	43532	2958709
29	45018	2956216
30	46479	2952196
31	48033	2954073
32	49501	2950579
33	50985	2948168
34	52624	2954489
35	54137	2953489
36	55697	2954956
37	57127	2949594
38	58621	2947591
39	60144	2947098
40	61642	2945287
41	63331	2952471
42	64822	2950192
43	66360	2950035
44	67888	2949382
45	69750	2962896
46	71821	2984409
47	73954	3007463
48	75910	3022469
49	78173	3048778
50	80513	3076875
51	82933	3106828
52	85100	3126229
53	87455	3151637
54	90031	3183858
55	92430	3208675
56	94736	3229347
57	97327	3258785
58	99804	3283398
59	102087	3300814
60	104478	3321032
61	106954	3343189
62	109269	3359616
63	111537	3374021
64	113746	3386131
65	115878	3395599
66	118025	3405111
67	120107	3412473
68	122213	3420195
69	124419	3430420
70	126603	3439689
71	128916	3452087
72	131281	3465474
73	133483	3474175
74	135761	3484535
75	137964	3492691
76	140114	3499234
77	142250	3505208
78	144402	3511365
79	146484	3515624
80	148542	3519166
81	150627	3523208
82	152667	3526076
83	154785	3530593
84	156905	3534988
85	158979	3538217
86	161031	3540847
87	163120	3544165
88	165080	3544596
89	167121	3546684
90	169071	3546775
91	171010	3546606
92	172985	3547127
93	174853	3545433
94	176814	3545605
95	178719	3544610
96	180570	3542539
97	182449	3541017
98	184500	3542778
99	186529	3544057
100	188438	3543019
101	190216	3539516
102	192041	3536921
103	194082	3538281
104	196041	3538086
105	198001	3537880
106	199935	3537182
107	201948	3537834
108	203950	3538261
109	206099	3541156
110	208195	3543083
111	210277	3544669
112	212238	3544188
113	214310	3545515
114	216228	3544272
115	218437	3547726
116	220735	3552522
117	222713	3552090
118	224630	3550670
119	226526	3548917
120	228498	3548332
121	230482	3547912
122	232413	3546670
123	234370	3545799
124	236307	3544616
125	238226	3543143
126	240192	3542360
127	242112	3540890
128	243947	3538177
129	245756	3535114
130	247865	3536339
131	249744	3534270
132	251667	3532802
133	253650	3532181
134	255650	3531770
135	257577	3530323
136	259472	3528443
137	261339	3526186
138	263334	3525654
139	265282	3524471
140	267275	3523861
141	269439	3525486
142	271492	3525609
143	273484	3524911
144	275458	3523964
145	277434	3523033
146	279346	3521292
147	281182	3518580
148	283023	3515952
149	284824	3512834
150	286722	3510926
151	288586	3508602
152	290408	3505783
153	292208	3502703
154	294147	3501298
155	296036	3499297
156	297959	3497706
157	299827	3495461
158	301668	3492905
159	303534	3490647
160	305455	3489021
161	307449	3488223
162	309334	3486185
163	311319	3485255
164	313314	3484438
165	315512	3485847
166	317485	3484734
167	319461	3483656
168	321428	3482458
169	323394	3481250
170	325439	3480869
171	327425	3479845
172	329379	3478471
173	331404	3477846
174	333379	3476676
175	335339	3475338
176	337242	3473405
177	339346	3473533
178	341253	3471635
179	343224	3470383
180	345244	3469612
181	347211	3468298
182	349253	3467724
183	351227	3466462
184	353124	3464440
185	355162	3463791
186	357188	3463011
187	359156	3461656
188	361027	3459364
189	362998	3458038
190	364853	3455599
191	366778	3453831
192	368734	3452350
193	370629	3450291
194	372570	3448661
195	374625	3448086
196	376589	3446653
197	378530	3445012
198	380430	3442993
199	382397	3441573
200	384352	3440048
201	386309	3438537
202	388351	3437775
203	390408	3437123
204	392335	3435329
205	394321	3434043
206	396127	3431194
207	398079	3429611
208	400141	3428965
209	402068	3427156
210	403902	3424556
211	406000	3424190
212	407840	3421648
213	409891	3420872
214	411860	3419398
215	413762	3417373
216	415675	3415435
217	417705	3414453
218	419666	3412902
219	421578	3410954
220	423501	3409089
221	425502	3407855
222	427347	3405368
223	429292	3403679
224	431305	3402524
225	433354	3401639
226	435257	3399607
227	437171	3397669
228	439106	3395888
229	441059	3394241
230	443010	3392575
231	444911	3390534
232	446836	3388671
233	448759	3386792
234	450794	3385753
235	452733	3383987
236	454743	3382755
237	456802	3381870
238	458860	3380973
239	460892	3379878
240	463175	3380604
241	465122	3378867
242	467321	3378948
243	469197	3376681
244	471148	3374962
245	473132	3373476
246	475129	3372071
247	477133	3370714
248	479155	3369484
249	481136	3367953
250	483093	3366255
251	485226	3365777
252	487224	3364355
253	489131	3362300
254	491034	3360217
255	493026	3358740
256	494912	3356548
257	496674	3353515
258	498377	3350096
259	500246	3347804
260	502191	3346022
261	504045	3343629
262	505927	3341429
263	507770	3338975
264	509623	3336590
265	511497	3334345
266	513417	3332407
267	515331	3330426
268	517266	3328582
269	519355	3327720
270	521280	3325807
271	523116	3323326
272	524991	3321101
273	526898	3319078
274	528826	3317187
275	530666	3314739
276	532544	3312544
277	534335	3309807
278	536097	3306893
279	537856	3303972
280	539681	3301469
281	541496	3298906
282	543246	3295949
283	545134	3293843
284	547078	3292066
285	549357	3292302
286	551360	3290875
287	553276	3288922
288	555382	3288096
289	557256	3285892
290	559177	3283966
291	561031	3281652
292	562926	3279574
293	564881	3277852
294	566783	3275813
295	568813	3274522
296	570906	3273581
297	572989	3272578
298	574945	3270845
299	576879	3268985
300	578807	3267088
301	580756	3265315
302	582651	3263234
303	584813	3262643
304	586617	3260052
305	588376	3257222
306	590284	3255214
307	592186	3253183
308	593988	3250597
309	595816	3248158
310	597677	3245907
311	599656	3244295
312	601508	3241996
313	603329	3239533
314	605237	3237538
315	607086	3235230
316	609015	3233354
317	610930	3231399
318	612829	3229362
319	614797	3227689
320	616820	3226300
321	618771	3224528
322	620721	3222755
323	622673	3220989
324	624668	3219445
325	626740	3218295
326	628791	3217028
327	630842	3215759
328	632749	3213751
329	634745	3212197
330	636635	3210105
331	638591	3208343
332	640622	3206960
333	642584	3205224
334	644443	3202979
335	646481	3201624
336	648454	3199941
337	650513	3198679
338	652468	3196904
339	654401	3195020
340	656451	3193702
341	658451	3192139
342	660403	3190346
343	662354	3188542
344	664306	3186745
345	666273	3185016
346	668251	3183342
347	670191	3181483
348	672145	3179689
349	674177	3178266
350	676190	3176746
351	678201	3175216
352	680176	3173515
353	682165	3171877
